Alias,Algorithm,Family,Role,CaseID,AnchorIndex,WTL
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,2,9,12/0/18
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,3,9,11/0/19
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,4,9,8/0/22
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,5,9,10/0/20
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,6,9,9/0/21
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,7,9,6/0/24
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,8,9,3/0/27
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,1,9,16/0/14
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,2,9,13/0/17
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,3,9,14/0/16
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,4,9,18/0/12
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,5,9,12/0/18
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,6,9,11/0/19
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,7,9,15/0/15
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,8,9,12/0/18
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,1,9,12/0/18
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,2,9,17/0/13
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,3,9,15/0/15
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,4,9,16/0/14
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,5,9,12/0/18
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,6,9,12/0/18
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,7,9,11/0/19
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,8,9,11/0/19
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,1,9,12/0/18
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,2,9,10/0/20
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,3,9,12/0/18
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,4,9,16/0/14
