Domain,Instance,Anchor,Competitor,NPairs,WinsAnchor,Ties,LossesAnchor,MeanAnchor,MeanCompetitor,MedianAnchor,MedianCompetitor,RawP,HolmDomainP,RejectHolmDomain
FIR_SENSITIVITY,1,A-C1,RB-C4,30,14,0,16,0.00573886257758604,0.00512632779551076,0.00498952913244555,0.0048753454813589,0.171376388775022,1,0
FIR_SENSITIVITY,2,A-C1,RB-C4,30,17,0,13,0.0214703206426058,0.0213838931907341,0.0212255856753455,0.0216223699027452,0.909930768158735,1,0
FIR_SENSITIVITY,3,A-C1,RB-C4,30,16,0,14,0.00515681436015733,0.00529666285369332,0.00507530405141678,0.00498034833848902,0.490798493489951,1,0
FIR_SENSITIVITY,4,A-C1,RB-C4,30,12,0,18,0.0214869065664112,0.0206933217628209,0.0219018038370187,0.0210396294061002,0.14138951131633,1,0
FIR_SENSITIVITY,5,A-C1,RB-C4,30,18,0,12,0.00176046133194598,0.00191750258779871,0.00147259608567057,0.0016027270398853,0.530440091249749,1,0
FIR_SENSITIVITY,6,A-C1,RB-C4,30,19,0,11,0.00666755992175006,0.00706207510357378,0.00693271280085514,0.00823157988479615,0.280214408114037,1,0
FIR_SENSITIVITY,7,A-C1,RB-C4,30,15,0,15,0.00163243470126284,0.00179750686759476,0.00142176382268058,0.00150112926697153,0.599935928167746,1,0
FIR_SENSITIVITY,8,A-C1,RB-C4,30,18,0,12,0.00360188653907194,0.00454642551200664,0.00324255144809555,0.0035784165838561,0.147039578643453,1,0
FIR_SENSITIVITY,1,A-C1,RA-C1,30,18,0,12,0.00573886257758604,0.0054330670337191,0.00498952913244555,0.00521477906111355,0.781263710149943,1,0
FIR_SENSITIVITY,2,A-C1,RA-C1,30,13,0,17,0.0214703206426058,0.0206828865380537,0.0212255856753455,0.0209373421295936,0.298943752019591,1,0
FIR_SENSITIVITY,3,A-C1,RA-C1,30,15,0,15,0.00515681436015733,0.0053031473369565,0.00507530405141678,0.00499321885429597,0.893644387126605,1,0
FIR_SENSITIVITY,4,A-C1,RA-C1,30,14,0,16,0.0214869065664112,0.0217981228568142,0.0219018038370187,0.0220403413121423,0.734325291439128,1,0
FIR_SENSITIVITY,5,A-C1,RA-C1,30,18,0,12,0.00176046133194598,0.00202810882076404,0.00147259608567057,0.00188228350579465,0.147039578643453,1,0
FIR_SENSITIVITY,6,A-C1,RA-C1,30,18,0,12,0.00666755992175006,0.00697939331577671,0.00693271280085514,0.00755104320314149,0.465282581879085,1,0
FIR_SENSITIVITY,7,A-C1,RA-C1,30,19,0,11,0.00163243470126284,0.00227134463653319,0.00142176382268058,0.00171998449056351,0.0786466602741035,1,0
FIR_SENSITIVITY,8,A-C1,RA-C1,30,19,0,11,0.00360188653907194,0.00481926107558465,0.00324255144809555,0.00400943535233948,0.0368261284160903,1,0
FIR_SENSITIVITY,1,A-C1,A-C2,30,18,0,12,0.00573886257758604,0.00542317869631428,0.00498952913244555,0.00526796675962336,0.926255087307612,1,0
FIR_SENSITIVITY,2,A-C1,A-C2,30,20,0,10,0.0214703206426058,0.0223911291502225,0.0212255856753455,0.0222438595048456,0.147039578643453,1,0
FIR_SENSITIVITY,3,A-C1,A-C2,30,18,0,12,0.00515681436015733,0.00534081069868833,0.00507530405141678,0.00522083877663319,0.228880422284965,1,0
FIR_SENSITIVITY,4,A-C1,A-C2,30,14,0,16,0.0214869065664112,0.0214840098390163,0.0219018038370187,0.0215568467714702,0.893644387126605,1,0
FIR_SENSITIVITY,5,A-C1,A-C2,30,18,0,12,0.00176046133194598,0.00194580781107918,0.00147259608567057,0.00167566139391523,0.271155197708832,1,0
FIR_SENSITIVITY,6,A-C1,A-C2,30,15,0,15,0.00666755992175006,0.00708242595840279,0.00693271280085514,0.00836053659348326,0.909930768158735,1,0
FIR_SENSITIVITY,7,A-C1,A-C2,30,18,0,12,0.00163243470126284,0.00179100099237149,0.00142176382268058,0.00147470383128432,0.544006207584189,1,0
FIR_SENSITIVITY,8,A-C1,A-C2,30,25,0,5,0.00360188653907194,0.00460420540173361,0.00324255144809555,0.00414573884609952,5.79244618975702e-05,0.00677716204201572,1
FIR_SENSITIVITY,1,A-C1,RA-C2,30,14,0,16,0.00573886257758604,0.00526963423337554,0.00498952913244555,0.00510344120894596,0.370935307845125,1,0
FIR_SENSITIVITY,2,A-C1,RA-C2,30,8,0,22,0.0214703206426058,0.0196920287131625,0.0212255856753455,0.0193953560859291,0.00276527419699164,0.293119064881114,0
FIR_SENSITIVITY,3,A-C1,RA-C2,30,12,0,18,0.00515681436015733,0.00503510071694395,0.00507530405141678,0.00479042377401915,0.177907383303841,1,0
FIR_SENSITIVITY,4,A-C1,RA-C2,30,13,0,17,0.0214869065664112,0.0218544603234361,0.0219018038370187,0.021750879891671,0.893644387126605,1,0
FIR_SENSITIVITY,5,A-C1,RA-C2,30,16,0,14,0.00176046133194598,0.00194049231058758,0.00147259608567057,0.00163222334246199,0.643516594816578,1,0
FIR_SENSITIVITY,6,A-C1,RA-C2,30,15,0,15,0.00666755992175006,0.00631706192373786,0.00693271280085514,0.00578922231628574,0.517047890994101,1,0
FIR_SENSITIVITY,7,A-C1,RA-C2,30,17,0,13,0.00163243470126284,0.00231422902102661,0.00142176382268058,0.00185252377736221,0.0936755965319305,1,0
FIR_SENSITIVITY,8,A-C1,RA-C2,30,15,0,15,0.00360188653907194,0.00425788571863393,0.00324255144809555,0.00394164629526013,0.177907383303841,1,0
FIR_SENSITIVITY,1,A-C1,A-C3,30,14,0,16,0.00573886257758604,0.0056077780354864,0.00498952913244555,0.0051670369490069,0.76551929190161,1,0
FIR_SENSITIVITY,2,A-C1,A-C3,30,18,0,12,0.0214703206426058,0.0220369913071153,0.0212255856753455,0.021797027888813,0.221021574813304,1,0
FIR_SENSITIVITY,3,A-C1,A-C3,30,19,0,11,0.00515681436015733,0.00558335233870448,0.00507530405141678,0.00518294486121219,0.0407023114262778,1,0
FIR_SENSITIVITY,4,A-C1,A-C3,30,11,0,19,0.0214869065664112,0.0208359816855164,0.0219018038370187,0.0210555462360695,0.177907383303841,1,0
FIR_SENSITIVITY,5,A-C1,A-C3,30,18,0,12,0.00176046133194598,0.00199255388087868,0.00147259608567057,0.00170005171841305,0.517047890994101,1,0
FIR_SENSITIVITY,6,A-C1,A-C3,30,16,0,14,0.00666755992175006,0.00682552795709153,0.00693271280085514,0.00834284777785471,0.628843002054107,1,0
FIR_SENSITIVITY,7,A-C1,A-C3,30,16,0,14,0.00163243470126284,0.00177089729586057,0.00142176382268058,0.00153494198196884,0.571645783672111,1,0
