Domain,Instance,Anchor,Competitor,NPairs,WinsAnchor,Ties,LossesAnchor,MeanAnchor,MeanCompetitor,MedianAnchor,MedianCompetitor,RawP,HolmDomainP,RejectHolmDomain
CEC2022_EXTERNAL,4,B-C1,QQLMPA,30,13,0,17,37.3487349084986,34.6056557747605,36.3159538538671,35.6324933691188,0.26229871911949,1,0
CEC2022_EXTERNAL,5,B-C1,QQLMPA,30,14,0,16,30.3138723561653,25.1414076840784,18.1442754256342,19.8692806753392,0.571645783672111,1,0
CEC2022_EXTERNAL,6,B-C1,QQLMPA,30,16,0,14,22.6350517563065,23.6772903280008,16.6276616650062,23.1197811068307,0.557742686203924,1,0
CEC2022_EXTERNAL,7,B-C1,QQLMPA,30,21,0,9,29.4504370424345,35.00111368376,26.9371290662578,35.2669880267183,0.0195692152338464,0.645784102716932,0
CEC2022_EXTERNAL,8,B-C1,QQLMPA,30,30,0,0,20.5639529311375,24.7050156587636,21.0310980090588,24.5203740448324,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,9,B-C1,QQLMPA,30,30,0,0,180.781271679722,180.781320821898,180.781271677756,180.781310819066,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,10,B-C1,QQLMPA,30,28,0,2,51.5379839318475,113.47197438326,10.2406622327549,100.643357056548,6.31975676439795e-05,0.00303348324691102,1
CEC2022_EXTERNAL,11,B-C1,QQLMPA,30,28,0,2,300.000000476065,362.557052804485,300.000000120047,400.778975776641,6.89229029683497e-05,0.00323937643951244,1
CEC2022_EXTERNAL,12,B-C1,QQLMPA,30,19,0,11,240.990054590881,241.111510120495,239.468876423058,241.361368910736,0.628843002054107,1,0
CEC2022_EXTERNAL,1,B-C1,GWO,30,30,0,0,3.61453029048183e-07,9288.00364882037,3.16021498747431e-07,9532.60746435816,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,2,B-C1,GWO,30,29,0,1,27.5181626454037,88.5076247372153,44.8954693179499,78.1515186241296,2.12663601073143e-06,0.000187314943858623,1
CEC2022_EXTERNAL,3,B-C1,GWO,30,30,0,0,1.80345173551662e-05,4.29358252596795,8.51785267741434e-06,3.09464359741076,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,4,B-C1,GWO,30,22,0,8,37.3487349084986,47.4785941076327,36.3159538538671,43.1636023561732,0.00360943334938422,0.129939600577832,0
CEC2022_EXTERNAL,5,B-C1,GWO,30,26,0,4,30.3138723561653,192.006040471289,18.1442754256342,105.310020917898,1.12653984998211e-05,0.000642127714489803,1
CEC2022_EXTERNAL,6,B-C1,GWO,30,30,0,0,22.6350517563065,92659.8922762881,16.6276616650062,13759.5691138185,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,7,B-C1,GWO,30,28,0,2,29.4504370424345,83.3523442015815,26.9371290662578,72.3459257624384,4.72920233744707e-06,0.000302668949596612,1
CEC2022_EXTERNAL,8,B-C1,GWO,30,30,0,0,20.5639529311375,55.9498468393667,21.0310980090588,28.029480316043,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,9,B-C1,GWO,30,30,0,0,180.781271679722,207.753867378744,180.781271677756,207.532021569596,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,10,B-C1,GWO,30,28,0,2,51.5379839318475,804.835206746758,10.2406622327549,791.808749924582,4.72920233744707e-06,0.000302668949596612,1
CEC2022_EXTERNAL,11,B-C1,GWO,30,30,0,0,300.000000476065,781.919471804375,300.000000120047,789.530718669894,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,12,B-C1,GWO,30,28,0,2,240.990054590881,268.799747873383,239.468876423058,259.634685286347,5.75165326940185e-06,0.000350850849433513,1
CEC2022_EXTERNAL,1,B-C1,FDB-TLABC,30,1,0,29,3.61453029048183e-07,8.28136413512462e-06,3.16021498747431e-07,2.27373675443232e-12,3.11231511537292e-05,0.00155615755768646,1
CEC2022_EXTERNAL,2,B-C1,FDB-TLABC,30,22,0,8,27.5181626454037,48.1981559413988,44.8954693179499,49.0844789808902,0.00103568130354587,0.0403915708382891,1
CEC2022_EXTERNAL,3,B-C1,FDB-TLABC,30,30,0,0,1.80345173551662e-05,0.952897856068758,8.51785267741434e-06,0.563713461304872,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,4,B-C1,FDB-TLABC,30,3,0,27,37.3487349084986,24.0448232171233,36.3159538538671,23.8790022567818,2.59671258484474e-05,0.00132432341827082,1
CEC2022_EXTERNAL,5,B-C1,FDB-TLABC,30,14,0,16,30.3138723561653,29.4314032835758,18.1442754256342,19.6202153981694,0.942610512457651,1,0
CEC2022_EXTERNAL,6,B-C1,FDB-TLABC,30,30,0,0,22.6350517563065,2619.45066637457,16.6276616650062,2100.58947303171,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,7,B-C1,FDB-TLABC,30,11,0,19,29.4504370424345,25.4603554216656,26.9371290662578,25.286731126845,0.147039578643453,1,0
CEC2022_EXTERNAL,8,B-C1,FDB-TLABC,30,26,0,4,20.5639529311375,25.3003310928145,21.0310980090588,24.6777347209711,6.33913557312249e-06,0.000374008998814227,1
CEC2022_EXTERNAL,9,B-C1,FDB-TLABC,30,0,25,5,180.781271679722,180.781271677747,180.781271677756,180.781271677747,0.0431144467830754,1,0
CEC2022_EXTERNAL,10,B-C1,FDB-TLABC,30,28,0,2,51.5379839318475,149.493043319407,10.2406622327549,100.472778082337,1.3601107967991e-05,0.000748060938239505,1
CEC2022_EXTERNAL,11,B-C1,FDB-TLABC,30,5,0,25,300.000000476065,320.789022367337,300.000000120047,300.000000000001,0.0471617472082546,1,0
CEC2022_EXTERNAL,12,B-C1,FDB-TLABC,30,29,0,1,240.990054590881,261.198765270391,239.468876423058,259.046081740537,1.79884806917991e-05,0.000953389476665352,1
CEC2022_EXTERNAL,1,B-C1,FTO,30,30,0,0,3.61453029048183e-07,8340.92258972515,3.16021498747431e-07,8831.70721582002,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,2,B-C1,FTO,30,30,0,0,27.5181626454037,115.988414509063,44.8954693179499,101.572959490758,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,3,B-C1,FTO,30,30,0,0,1.80345173551662e-05,30.0186975360631,8.51785267741434e-06,30.8665343948453,1.73439762832058e-06,0.000187314943858623,1
