Alias,Algorithm,Family,Role,Function,AnchorIndex,WTL
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,11,1,2/0/28
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,12,1,3/0/27
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,1,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,2,1,6/0/24
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,3,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,4,1,17/0/13
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,5,1,16/0/14
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,6,1,14/0/16
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,7,1,9/0/21
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,8,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,9,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,10,1,2/0/28
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,11,1,2/0/28
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,12,1,11/0/19
GWO,GWO_BASE,GWO_BASE,EXTERNAL,1,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,2,1,1/0/29
GWO,GWO_BASE,GWO_BASE,EXTERNAL,3,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,4,1,8/0/22
GWO,GWO_BASE,GWO_BASE,EXTERNAL,5,1,4/0/26
GWO,GWO_BASE,GWO_BASE,EXTERNAL,6,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,7,1,2/0/28
GWO,GWO_BASE,GWO_BASE,EXTERNAL,8,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,9,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,10,1,2/0/28
GWO,GWO_BASE,GWO_BASE,EXTERNAL,11,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,12,1,2/0/28
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,1,1,29/0/1
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,2,1,8/0/22
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,3,1,0/0/30
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,4,1,27/0/3
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,5,1,16/0/14
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,6,1,0/0/30
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,7,1,19/0/11
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,8,1,4/0/26
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,9,1,25/4/1
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,10,1,2/0/28
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,11,1,25/0/5
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,12,1,1/0/29
FTO,FTO_BASE,FTO_BASE,EXTERNAL,1,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,2,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,3,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,4,1,8/0/22
FTO,FTO_BASE,FTO_BASE,EXTERNAL,5,1,2/0/28
FTO,FTO_BASE,FTO_BASE,EXTERNAL,6,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,7,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,8,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,9,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,10,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,11,1,1/0/29
FTO,FTO_BASE,FTO_BASE,EXTERNAL,12,1,1/0/29
