Alias,Algorithm,Family,Role,Function,AnchorIndex,WTL
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,11,1,23/0/7
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,12,1,3/0/27
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,1,1,29/0/1
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,2,1,18/0/12
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,3,1,0/0/30
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,4,1,6/0/24
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,5,1,0/0/30
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,6,1,3/0/27
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,7,1,1/0/29
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,8,1,3/0/27
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,9,1,7/0/23
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,10,1,4/0/26
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,11,1,21/0/9
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,12,1,2/0/28
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,1,1,27/0/3
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,2,1,14/0/16
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,4,1,8/0/22
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,5,1,0/0/30
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,6,1,5/0/25
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,7,1,1/0/29
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,8,1,1/0/29
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,9,1,4/0/26
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,10,1,2/0/28
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,11,1,19/0/11
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,12,1,2/0/28
